segment_L,accession_L,country,admin1,location,latitude,longitude
KM821842|G2315_SLE_2012|Human|Sierra_Leone|2012-02-10,KM821842,SLE,Kenema,Panguma,8.184479,-11.134313
KM821778|G636_SLE_2009|Human|Sierra_Leone|2009-10-09,KM821778,SLE,Kenema,Kono Gorama,8.38727,-11.0879
KM821791|G808_SLE_2010|Human|Sierra_Leone|2010-02-27,KM821791,SLE,Kenema,Panguma,8.184479,-11.134313
KM821873|G2868_SLE_2012|Human|Sierra_Leone|2012-10-08,KM821873,SLE,Kenema,Kpetema-Brewaya,8.355083,-11.324278
KM821831|G2222_SLE_2011|Human|Sierra_Leone|2011-12-19,KM821831,SLE,Kenema,Largo,8.05,-11.11
KM821811|G1774_SLE_2011|Human|Sierra_Leone|2011-06-11,KM821811,SLE,Kenema,Largo,8.05,-11.11
KM821851|G2405_SLE_2012|Human|Sierra_Leone|2012-03-27,KM821851,SLE,Kenema,Kenema,7.862212,-11.196247
KM821780|G676_SLE_2009|Human|Sierra_Leone|2009-12-09,KM821780,SLE,Kenema,Dodo,8.154893,-11.171735
KM821840|G2295_SLE_2012|Human|Sierra_Leone|2012-01-31,KM821840,SLE,Kenema,Lalehun,8.1978275,-11.0803252
KM821807|G1647_SLE_2011|Human|Sierra_Leone|2011-04-15,KM821807,SLE,Kenema,Kenema,7.862212,-11.196247
KM821883|G3016_SLE_2013|Human|Sierra_Leone|2013-02-14,KM821883,SLE,Kenema,Panguma,8.184479,-11.134313
KM821838|G2280_SLE_2012|Human|Sierra_Leone|2012-01-23,KM821838,SLE,Kenema,Pegama,8.116599,-11.174797
KM821866|G2612_SLE_2012|Human|Sierra_Leone|2012-07-23,KM821866,SLE,Kenema,Kenema,7.862212,-11.196247
KM821891|G3148_SLE_2013|Human|Sierra_Leone|2013-06-01,KM821891,SLE,Kenema,Panguma,8.184479,-11.134313
